㐂;匕
恧;心而
恨;艮⺖
恩;心大囗
恪;口⺖夂
恫;口⺖冂一
恬;口舌⺖
恭;心ハ井
息;自心
恰;口⺖𠆢
恱;儿ハ厶⺖
恵;一心田
恷;⺅心木
恾;亠⺖⺾亡
恿;マ心用
悁;月口⺖
悂;匕土⺖比
悃;⺖木囗
悄;月⺌⺖
悆;二𠆢小心示
悈;廾⺖戈
悉;丿心釆米
悊;⺘心斤
悋;口文⺖
悌;丨丿弓丷⺖
悍;干日⺖
悎;丿口土⺖
悑;一丨丶二冂十⺖月用
悒;口⺖巴邑
悓;儿⺖目見
悔;母⺖毋
悕;一丨丶丿冂巾⺖
悖;子十⺖冖
悗;免⺖儿
悘;一丿匚大心矢
悚;丨口ハ⺖木
悛;⺖儿厶夂
悝;⺖里
悞;口大⺖无
悟;一口⺖五
悠;丨⺅心夂攵
悢;丶⺖艮
患;丨口心
悤;丿口夂心
悥;二亠口心言
悦;口丷⺖儿
悧;禾⺉⺖
您;⺅冖勹小心
悩;⺌⺖凵
悪;丨一口心
悰;二宀小⺖示
悱;⺖非
悲;心非
悳;十心目
悴;十人⺖亠
悵;長⺖
悶;心門
悷;一丶大尸⺖戸犬
悸;禾子⺖
悻;一丷十土干⺖
悼;十日⺖卜
悽;ヨ女⺖
悾;儿ハ宀工⺖穴
惂;勹⺖臼
惄;又土小心
情;月青土二⺖亠
惆;口土⺖冂
惇;口子⺖亠
惈;⺖日木田
惉;卜口⺡心
惊;亠口小⺖
惋;卩夕宀⺖
惎;一丨二心
惏;⺖木
惑;口心戈
惓;大二丷⺖已
惔;⺖火
惕;丿勹⺖日勿
惘;工丷⺖冂
惙;又⺖
惚;心⺖勿
惛;⺖日氏
惜;丨一二日⺖
惝;冂口小⺌⺖
惞;人勹⺖斤欠
惟;⺖隹
惠;丨一心虫日厶
惡;一心二
惢;心
惣;牛心勿
惥;人大心臼
惧;ハ⺖目
惨;一⺖厶彡
惮;十⺌⺖日田
惰;丿一月工⺖
惱;巛⺖囗
惲;冖⺖車
想;心木目
惴;山而⺖
惵;一丨⺖木世
惶;王白⺖
惷;心大二日
惸;勹子⺖日
惹;丿一口心⺾
惺;生日⺖
惻;貝目ハ⺉⺖
惼;一丨亅冂尸廾⺖戸冊
惽;一乙尸⺖日氏
愀;火禾⺖
愁;火禾心
愂;冖力十子心
愃;二日⺖宀
愆;行⺡心彳
愇;口⺖韋
愈;⺉月心𠆢
愉;⺉月⺖𠆢
愊;一口⺖田
愌;ハ冂勹大⺖
愍;口氏心攵
愎;日⺖夂
意;音心日立
愐;⺖面
愑;丨力マ⺖月用
愒;人勹⺖日
愓;一丿勹⺖日勿
愔;⺖日立
愕;口二⺖勹
愖;一丨儿ハ匚⺖甘目
愗;マ心攵矛
愙;口夂宀心
愚;心田冂厶禸
愛;心爪冖夂
愜;人匚大⺖
愞;大⺖而
感;丿口心戈
愡;丿心⺖丶勿
愢;⺖心田
愧;鬼田⺖儿匕
愨;士心冖殳几又
愪;ハ口⺖目貝
愫;一丨二亠土小幺⺖糸
愬;月心丷屮
愰;一儿⺌⺖日
愱;一丿大⺖疒矢
愴;戸口人⺖一尸
愵;丶冫弓⺖
愶;力⺖月
愷;丷口山⺖豆
愹;𠆢ハ口宀⺖谷
愺;十⺖⺾日
愼;ハ⺖目匕
愽;十寸田⺖丶
愾;米⺖气
愿;小心白厂
慁;口心豕
慂;⺡心用マ
慄;西⺖木
慅;丶又⺖虫
慆;⺖爪臼
慇;心日殳几又
慈;一心丷幺
慉;亠幺⺖玄田
慊;丨ヨ丷⺖
態;月心匕厶
慌;川⺖⺾亡
慍;皿日⺖
慎;一十ハ⺖目
慓;示二小西⺖
慕;心大日⺾
慘;⺖𠆢厶彡
慙;斤車心
慚;斤車⺖
慝;丿一口心厂⺾匚
慞;十⺖日立
慟;丨丿日⺖力
慠;土士⺖攵方
慢;日⺲⺖又
慣;貝目ハ母⺖毋
慥;口⻌土⺖
慧;ヨ心丨一
慨;牙艮⺖
慫;心丷疋彳
慬;二十口廾⺖革
慮;心田卜匕厂虍
慯;丿一日⺖勹
慰;示二小心寸尸
慱;十寸虫日⺖亠厶
慲;一丨人冂巾⺖
慳;臣土⺖又
慴;羽白⺖冫
慵;ヨ⺖用冂广聿
慶;心冖夂广
慷;ヨ水⺖广隶
慸;一丨丿乙冂冖凵巾廾心
慻;一ハ丷大⺖目
慼;一丿卜厂小心戈
慾;欠口心谷ハ𠆢
慿;冫廾心馬
憀;𠆢冫彡⺖羽
憁;丿口夂⺖心
憂;一自心冖夂白
憃;一二大心臼
憄;十彳心目
憇;甘口心舌
憊;⺅心用厂⺾
憋;丨ハ丷冂巾心攵
憍;丿冂口大⺖
憎;田日丷⺖
憐;舛米⺖夕
憑;心馬冫
憒;一丨ハ口⺖目虫貝
憓;一丨厶⺖心日虫
憔;⺖⺣隹
憖;丨犬心人ハ木
憗;人心攵木
憘;丷十口士⺖豆
憙;一口士心豆ハ
憚;丨口十田⺖
憜;一丿工⺖⻖月
憝;亠口子心攵
憟;⺖米西
憠;一人丷勹厂屮心欠
憤;貝目ハ十⺖⺾
憥;冖力心火
憧;⺖里立
憨;一丨ユ心攵耳
憩;口自心舌
憪;⺖月門
憫;文⺖門
憬;口小日⺖亠
憭;丶丿大小⺖日
憮;⺖⺣無一丨丿
憲;心土⺲亠宀
憶;音心日⺖立
憸;一人𠆢口⺖
憹;丨厂⺖日衣辰
憺;言⺖儿厂勹
憼;勹口⺾心攵
憾;丿口心⺖戈
懀;一丨𠆢丷口⺖日
懁;一口⺖⺲衣
懂;一丿⺖⺾車
懃;心力⺾
懆;口⺖木品
懇;艮心爪⺨豸
懈;角牛刀⺖
應;⺅心广隹
懊;大米⺖冂
懋;心矛木マ
懌;十辛土⺲⺖立亠
懍;禾口⺖亠囗
懎;人口囗土⺖
懏;丨亅⺖隹
懐;衣十⺲⺖
懕;丶厂大心日月犬
懜;一丨冖卜夕⺖⺾⺲
懝;一丿匕マ大⺖疋矢
懞;一冖⺖⺾豕
懟;一丨丶丿丷寸心王羊
懡;丿厶广⺖木麻
懢;一丶丿二匚⺖皿臣
懣;丨一⺡心入冂凵
懥;冖十厶⺖止田疋
懦;雨而⺖
懧;一亅宀⺖心皿
懩;一丶二丷大⺖艮
懬;ハ广心田黄
懭;ハ广⺖田黄
懯;一丨丶二冂心攵方用田
懲;王山心彳攵
懴;土⺖戈韭
懵;冖⺖⺾目⺲
懶;丨貝目口ハ頁⺖木
懷;衣⺲⺖亠
懸;丿糸幺小心目
懺;人⺖戈韭
懼;⺖目隹
懽;口十⺖⺾隹
懾;耳⺖
懿;欠口士心豆丷冖冫
戀;言糸幺小心
戁;十口大廾心隹革
戃;丨二丷冖口⺌⺖⺣里黒
戄;又⺖目隹
戇;ハ十夂工心日目立貝
戈;戈
戉;戈
戊;丿戈
戌;丿戈丶厂
戍;丿丶戈厂
戎;戈
成;丿戈
我;亅戈手
戒;廾戈
戓;口戈
戔;戈
戕;戈爿
或;口戈一
戚;丿小卜戈
戛;一自戈白
戜;口戈王
戝;貝目ハ戈
戞;一自冖戈
戟;十日戈
戠;亠丷戈日曰立
戡;甘儿匚戈
戢;口戈耳
戣;一大戈癶
戦;十⺌田戈
戧;丶丿𠆢口戈日
戩;二厶戈日
截;土戈隹
戫;一丿口戈月
戮;羽𠆢冫彡戈
戯;卜匕厂戈虍
戰;丨口十田戈
戲;口豆丷卜匕厂戈虍
戳;ヨ戈隹
戴;丨一田土二ハ戈
戸;戸一尸
戹;一丶乙尸戸
戻;戸大一尸
戽;一丶尸戸斗
戾;一丶丿大尸戸犬
房;戸方一尸
所;斤戸一尸
扁;丨一戸冂冊尸
扂;丶卜口尸
扃;一丶冂口尸戸
扄;丶丿冂口尸
扆;一丶亠尸戸衣
扇;羽戸冫一尸
扈;戸⻏口巴一尸
扉;戸非一尸
手;手
扌;⺘
才;丿一亅
扎;乙⺘
扐;力⺘
扑;卜⺘
扒;ハ⺘
打;亅⺘
扔;乃⺘
払;厶⺘
扖;入⺘
托;丿一乙⺘
扚;一丶勹⺘
扛;工⺘
扜;亅二⺘
扞;干⺘
扠;又丶⺘
扡;丨乙匕⺘也
扣;口⺘
扤;一儿⺘
扨;刀⺘丶
扭;丨ヨ⺘
扮;刀ハ⺘
扯;⺘止
扱;⺘及
扳;丿厂又⺘
扶;人二⺘大
批;比⺘
扺;⺘氏
扻;人勹⺘欠
扼;卩厂⺘
扽;丿乙凵⺘屯
找;戈⺘
承;丿二亅手
技;支⺘又十
抂;王⺘
抃;卜亠⺘
抄;丿小⺘
抅;勹厶⺘
抉;人大二⺘ユ
把;巴⺘
抍;丿廾⺘
抎;二厶⺘
抏;二儿⺘元
抐;人入冂⺘
抑;卩⺘
抒;矛亅⺘マ
抓;爪⺘
抔;丨丿一丶⺘
投;⺘殳几又
抖;斗⺘
抗;亠几⺘
折;斤⺘
抙;⺘手
抛;丿九⺘力
抜;夂亠⺘又
択;尸⺘
抦;一人冂⺘
抨;一ハ丷十干⺘
披;皮又⺘
抬;口厶⺘
抱;勹已⺘
抳;匕尸⺘
抵;氏⺘
抶;一丿大⺘
抷;一丨丶丿⺘
抹;丨一ハ木亠⺘
抺;一⺘木
抻;丨日⺘田
押;丨日⺘田
抽;丨日⺘田
抾;厶土⺘
抿;一乙尸⺘氏
拂;丨丿弓⺘
拄;丶亠土⺘王
担;一日⺘
拆;斤丶⺘
拇;母⺘毋
拈;口卜⺘
拉;立⺘
拊;⺅寸⺘
拌;丨干二ハ⺘十
拍;白⺘
拎;丶𠆢マ⺘
拏;手女又
拐;口刀⺘
拑;甘⺘
拒;匚⺘巨
拓;口石⺘
拔;丿一丶⺘
拕;匕宀⺘
拖;一丨丿乙匕⺘也
拗;力幺⺘
拘;口勹⺘
拙;丨山⺘
拚;厶廾⺘
招;口刀⺘
拜;丿干⺘
拝;丨一干⺘
拠;几夂⺘
拡;厶广⺘
拪;⺘西
括;丿口十舌⺘
拭;工弋⺘
拮;口士⺘
拯;水⺘
拱;丨一二ハ⺘
拲;丨丿二手
拳;一手丷大
拴;𠆢⺘王
拵;丿一子⺘
拶;巛夕⺘
拷;⺹⺘
拼;一丷廾⺘
拽;丿乙⺘日
拾;口𠆢⺘
拿;口手𠆢
持;寸土⺘
挂;土⺘
挃;一厶土⺘至
挄;一儿⺌⺘
指;日匕⺘
挈;手土刀
按;女宀⺘
挊;一卜⺘
挋;匚⺘臣
挌;口夂⺘
挍;亠⺘父
挐;口女手
挑;儿冫⺘
挓;一丿乙宀⺘
挖;乙儿ハ宀⺘
挘;丿力小⺘
挙;手⺌ハ
挟;人大二丷丶亠⺘
挧;羽冫⺘
挨;矢厶⺘
挩;儿ハ口⺘
挪;一刀ヨ⺘⻏
挫;丨土人⺘
挭;一丶丿口⺘日
振;衣辰厂⺘
挲;丿小⺡手
挵;廾⺘王
挶;亅口尸⺘
挹;乙口已⺘⻏巴
挺;王廴⺘
挻;丿廴⺘止疋
挼;女⺘爪
挽;丨一免儿⺘
挾;人大⺘
挿;丨丿十日⺘田
捁;丨丿二口土⺘
捂;一二口⺘五
捃;丿口ヨ⺘
捄;一丶⺘水
捆;口囗⺘木
捉;口足⺘
捊;子⺘爪
捋;寸⺘爪
捌;⺉口力⺘
捍;干日⺘
捎;小⺌⺘月
捏;土日⺘
捐;月口⺘
捒;口⺘木
捓;⺘⻏牙
捔;勹⺘用
捕;十用丶⺘
捗;丿止小⺘
捘;ハ厶夂⺘
捙;⺘車
捛;口⺘
捜;丨日又⺘田
捥;卩夕宀⺘
捦;⺘金
捧;丨一人大二⺘
捨;口土𠆢⺘
捩;戸大⺘一尸
捫;門⺘
捬;⺅寸广⺘
捭;一丿十口⺘日
据;口十尸⺘
捱;厂土⺘
捲;一丷已⺘大
捴;ハ厶⺘心
捵;丨ハ⺘日
捶;丨丿二⺘
捷;疋⺘ヨ
捸;ヨ⺘水隶
捺;示二小大⺘
捻;丨一心𠆢⺘
捼;丿女⺘木禾
捽;亠人十⺘
捿;一丨女ヨ⺘
掀;斤欠⺘
掂;卜口广⺘
掃;ヨ巾冖⺘
掄;一丨亅𠆢冂廾⺘冊
掇;又⺘
授;爪又冖⺘
掉;十日卜⺘曰
掊;口⺘立
掌;口手⺌冖
掎;口大亅⺘一
掏;缶凵勹⺘
掐;勹⺘臼
排;非⺘
掔;匚又手臣
掕;ハ土夂⺘
掖;⺅丶亠夂⺘夕
掘;丨山尸⺘
掙;亅ヨ⺘爪
掚;一丨入冂⺘
掛;土卜⺘
掞;⺘火
掟;疋宀⺘
掠;口小亠⺘
採;爪木⺘
探;木儿冖⺘
掣;⺉缶牛巾手凵
掤;⺘月
接;女立⺘
掦;丿勹⺘日勿
控;穴工儿宀⺘
推;⺘隹
掩;乙大日⺘奄
措;丨一二日⺘
掫;耳又⺘
掬;米勹⺘
掭;一丶亅大⺘⺣
掮;一丶尸⺘戸月
掯;⺘月止
掲;日勹匕⺘
掴;王囗⺘丶
掵;口𠆢卩⺘
掻;虫又⺘
掽;丨丶丿二丷⺘
掾;ヨ⺘豕
揀;丨日ハ木⺘
揁;ハ卜⺘目貝
揃;一⺉月丷⺘
揄;⺉月𠆢⺘
揅;一丿口廾手
揆;人大二⺘癶
揈;勹⺘言
揉;矛木⺘マ
揎;一二宀⺘日曰
描;田⺘⺾
提;日疋⺘
揑;工⺘臼
插;丿臼十⺘
揓;一丨丿乙匕⺘也方
揔;丶丿勹⺘心勿
揕;儿ハ匚⺘甘
揖;口耳⺘
揚;一日⺘勿
換;大儿冂勹⺘
揜;一𠆢口廾⺘
揠;匚女⺘日
握;至土厶尸⺘
揣;山而⺘
揥;丨亠丷冂冖巾⺘立
揩;白比⺘
揪;丿⺘木火禾
揫;丿手木火禾
揬;丶儿ハ大宀⺘犬
揭;人勹⺘日
揮;車冖⺘
揲;一丨⺘木世
揳;一丨二刀大⺘
援;丿一爪又⺘
揵;丨二廴ヨ⺘聿
揶;耳⻏⺘
揷;丿十⺘臼
揸;一⺘日木目
揹;一丨匕⺘月
揺;干爪凵⺘
搆;丨一黄ハ冂⺘
搉;冖⺘隹
搊;勹屮⺘
損;貝目ハ口⺘
搏;十寸田丶⺘
搐;亠幺⺘玄田
搒;亠丷冖⺘方立
搓;王工丷羊⺘
搔;丶又⺘虫
搖;缶夕凵⺘
搗;山鳥⺘
搘;丿匕土⺘⺹日
搜;丨臼支又⺘十
搞;亠冂口⺘高
搠;一丷屮⺘月
搢;丨丶丿二厶⺘日
搤;一丶丿ハ丷⺘皿
搥;丨丿⻌口⺘
搦;弓冫⺘
搨;羽日冫⺘
搩;夕⺘木舛
搪;丨口广ヨ⺘
搬;舟⺘殳几又
搭;口𠆢⺘⺾
搯;⺘爪臼
搰;冂冖⺘月骨
搴;丨一手二ハ宀
搵;人口⺘皿
搶;戸口𠆢⺘一尸
携;丿⺘隹乃
搽;一𠆢小⺘⺾木
搾;丨丿穴儿宀⺘
搿;一𠆢口手
摂;耳冫⺘
摋;一丶丿几又小⺘殳
摎;羽𠆢冫彡⺘
摏;一大⺘臼
摑;口囗⺘戈
摒;一丨丿丷尸廾⺘
摓;一丨二⻌夂⺘
摔;丶丿亠冫十幺⺘玄
摘;口十丷立亠冂⺘啇
摚;冖口土⺌⺘
摛;丶丿亠冂凵厶⺘禸
摜;一ハ⺘田目貝
摝;匕广⺘比鹿
摟;一丨口女⺘日
摠;丿口夂⺘心
摡;厶⺘无日
摣;一匕卜厂⺘目虍
摧;山⺘隹
摩;手木广麻
摭;一丨广⺘⺣
摯;丿九手十辛立丶
摳;匚口⺘
摴;一丨二冖勹⺘雨
摶;十寸虫日厶⺘
摸;大日⺘⺾
摹;大⺾手日
摺;羽白冫⺘
摻;𠆢厶彡⺘
摽;二小⺘示西
撃;車手殳几又
撅;一人丷勹厂屮⺘欠
撇;丨丶丿ハ丷冂⺘攵
撈;火力冖⺘
撏;口寸工ヨ⺘
撐;冖口⺌⺘牙
撑;冖口⺌⺘手
撒;丨月夂⺘攵
撓;土儿⺘
撕;甘斤ハ⺘
撘;一𠆢口⺘竹
撙;ハ丷寸⺘酉
撚;犬夕⺘⺣
撛;夕⺘米舛
撝;一亅尸⺘戸⺣爪
撞;里立⺘
撟;丿冂口大⺘
撡;丶亅𠆢厶⺘⺣
撣;十口⺘日田
撤;月亠厶⺘攵
撥;二儿⺘癶
撦;丿土大⺘⺹日曰
撨;⺘⺣隹
撩;小人大日丷亠⺘
撫;丨丿一⺘⺣無
撬;丿乙二⺘
播;田釆米⺘
撮;耳日又⺘
撰;丨二ハ已⺘
撲;王人丷羊⺘
撳;人勹⺘欠金
撹;見⺌冖⺘
撻;王⻌十辛土羊立亠⺘
撼;丿口心戈⺘
撽;⺘攵方日白
撾;冂⻌口囗⺘
撿;一人𠆢口⺘
擁;亠⺘隹
擂;雨田⺘
擄;一力匕卜厂⺘田虍
擅;口日亠囗⺘
擇;十辛土⺲立亠⺘
擉;勹⺘⺲虫
擊;几凵又手殳車
擋;冖口⺌⺘田
擌;人大⺘竹
操;口木⺘品
擎;勹口⺾手攵
擐;一口⺘⺲衣
擑;口⺘戈耳
擒;𠆢亠凵⺘禸
擔;言儿厂⺘勹
擕;丨亅⺘隹
擗;十口尸⺘立辛
擘;口手十辛立尸
據;卜匕厂⺘虍豕
擠;亠⺘齊刀氏廾
擡;口士至土冖厶⺘
擢;ヨ⺘隹
擣;口工士寸⺘
擤;廾⺘田目自鼻
擥;一丶丿匚手⺲臣
擦;丿示二小宀⺘癶
擧;臼手ハ
擩;冖⺘而雨
擪;丶厂大手日月犬
擬;疋矢匕⺘マ
擭;又⺘⺾隹
擯;丿貝目ハ小宀⺘
擰;一亅宀⺘心皿
擱;口門夂⺘
擲;大酉丷⻏⺘
擴;黄田ハ广⺘
擵;广⺘手木麻
擶;⺉月竹丷⺘
擷;ハ口士⺘目貝頁
擺;月⺲匕厶⺘
擻;一丨口女⺘攵日田
擽;白木冫⺘
擾;一心白冖夂⺘自
擿;亠丷冂十⻌口⺘立啇
攀;一手大ハ木爻
攁;一丶二丷大⺘艮
攄;匕卜厂⺘心田虍
攅;貝目ハ人大土亠⺘
攈;丿匕广⺘木比禾鹿
攉;一丨丶⺅冖⺘隹雨
攊;丿厂⺘木止禾
攏;一丨乙⺘月立竜
攓;一丨二ハ口宀⺘足
攔;丷口⺘木門
攖;ハ女⺘目
攘;衣二ハ亠⺘
攙;一丨丶儿勹匕口⺘比免
攛;儿ハ宀⺘臼鼠
攜;口山儿冂⺘隹
攝;耳⺘
攞;丶小幺⺘⺲糸隹
攟;丿匕口广⺘木比禾鹿
攢;丿儿ハ土⺘目貝
攣;言糸幺小手
攤;二⺘⺾隹
攦;一丶冂匕广⺘比鹿
攩;丷冖口⺌⺘⺣里黒
攪;臼見⺘
攫;又目⺘隹
攬;見臣⺘
攮;一丨二冖十口⺘衣
支;支十又
攱;十又支立
攲;一亅十又口大支
攴;攵
攵;攵
收;丨攵
攷;攵
攸;丨丿攵
改;已攵
攺;尸攵
攻;工攵
攼;一十干攵
攽;ハ刀攵
放;方攵
政;一止攵
敃;一乙尸攵氏
敄;マ攵矛
故;口十攵
敇;冂攵木
效;父亠攵
敉;攵米
敍;干小𠆢攵
敏;母攵毋
敐;亠厂攵衣辰
救;水丶攵
敒;丨⺅攵日田
敔;一二口攵五
敕;丨口ハ木攵
敖;土方攵
敗;貝目ハ攵
敘;干小𠆢攵
教;子⺹攵
敝;丨巾⺌丷冂攵
敞;口⺌冂攵
敟;一丨攵皿
敠;卜又
敢;耳攵
散;丨月攵
敦;口子亠攵
敧;亅卜又口大
敫;攵方日白
敬;口勹攵⺾
数;女米攵夂
敲;口高亠冂攵
整;丨一口止木攵
敵;口十丷立亠冂攵啇
敷;十田方丶攵
數;丨一口女攵
敺;匚卜又口
敽;丿冂又口大
斁;一丷十土干攵⺲
斂;口人𠆢攵
斃;巾小⺌丷夕冂匕攵
斄;一人厂攵木
斅;一丨冖卜又子ヨ爻
文;文
斈;子文
斉;丨丿文廾斉
斊;文耳
斌;止文弋
斎;丨丿文廾斉示二小
斐;非文
斑;王文
斒;一丨丶丿亅冂尸廾戸冊
斕;丶丿丷口木門
斗;斗
斘;夕斗
料;斗米
斛;角斗
斜;禾斗𠆢
斝;冖口斗
斟;甘斗儿匚
斠;一丨二斗月用
斡;十斗日𠆢
斣;勹斗⺲虫
斤;斤
斥;斤丶
斦;斤
斧;斤父
斫;丿斤口石
斬;斤車
断;斤米丨一
斮;丨二斤日曰
斯;甘斤ハ
新;斤十辛丷木立亠
斲;一丨丿口斤爿
斳;二十口廾斤革
斴;夕斤米舛
斵;丿刀匚厶斤臣
斷;丨斤幺
斸;丨二勹尸斤⺲虫
方;方
於;方𠆢
施;丿方一也
斿;一丿亅方
旁;丷方立亠冖
旂;一丿斤方
旃;方冂
旄;方毛
旅;丿方
旆;干缶巾方凵
旈;丨丿乙亠厶川方
旉;一丨丶十方日
旋;疋方
旌;生方
旎;一丿匕尸方
族;方矢
旐;一丶丿儿冫方
旒;川方亠厶
旔;丨二廴ヨ方聿
旖;一丿亅口大方
旗;甘ハ方
旘;亠丷戈方日立
旙;田釆米方
旛;田釆米方
旟;一丨丿ハヨ方
无;无
旡;无
既;牙艮
日;日
旦;一日
旧;丨日
旨;日匕
早;十日
旬;日勹
旭;日九
旰;一十干日
旱;干日
旲;大日
旴;一亅二十干日
旵;山日曰
旹;丨亠山日
旺;王日
旻;日文
旼;文日
旾;丿乙凵日曰屯
旿;一丿十干日曰
昀;一丶二勹日
昂;日卩
昃;人日厂
昄;丿厂又日
昆;日比
昇;丿日廾十
昈;一丶尸戸日
昉;方日
昊;一大日
昌;日
昍;日曰
明;月日
昏;氏日
昑;丶𠆢日
昒;丿勹日曰勿
易;日勿勹
昔;丨一二日
昕;斤日
昖;ハ厶日曰
昜;丿一日勿
昝;卜夂日曰
昞;一人冂日
星;生日
映;丿日大
昡;亠幺日玄
昢;丨凵山日
昣;𠆢彡日曰
昤;一丨丶亅𠆢マ日
春;一二日人
昦;丨丿大日曰
昧;丨二日ハ木亠
昨;丨丿日
昩;一日曰木
昪;厶廾日
昫;勹口日
昬;一尸日氏
昭;口刀日
昮;力工日
是;日疋
昰;一日止
昱;日立
昳;一丿大日矢
昴;日卩
昵;日匕尸
昶;水日丶
昷;日曰皿
昹;丶日曰水
昺;一人冂日西
昼;一日尸丶
昿;日厶广
晀;丶丿儿冫日曰
晁;日儿冫
時;寸土日
晃;一⺌日儿
晄;⺌日儿
晅;一日
晆;土日曰
晈;亠日父
晉;一二日厶
晊;一厶土日曰至
晋;一日
晌;丿冂口日
晎;丨二ハ日
晏;女日宀
晑;丿冂口日
晒;西日
晗;一丶𠆢口日
晘;一十干日曰
晙;儿ハ厶夂
晚;一丨丿儿勹口日免
晛;儿日目見
晜;丨丿丷弓日
晝;一日聿
晞;丿一巾日
晟;丿日戈
晠;丿亅厂戈日
晡;一丨丶十日月用
晢;斤日⺘
晣;⺘斤日
晤;一口日五
晥;二儿宀日元
晦;日母毋
晧;丿口土日
晨;辰日
晩;免日儿
晪;一丨ハ日
晫;十卜日
晬;亠人十日
晭;丨二冂口日
普;丨一二日丷
景;口小日亠
晰;斤日木
晳;斤日木
晴;月青土二日亠
晵;丶尸戸攵日曰
晶;日
晷;人卜口夂日
晸;一攵日止
晹;丿勹日曰勿
智;口日矢
晻;乙大日奄
晼;卩夕宀日曰
晾;亠口小日
晿;日曰
暀;丶亠土彳日王
暁;十日儿廾
暃;日非
暄;一二日宀
暇;日又
暈;車日冖
暉;車日冖
暋;一尸攵日氏
暌;一大日癶
暍;人勹日
暎;人大日冂⺾
暐;口日韋
暑;日⺹
暒;日生
暖;丿一爪日又
暗;音日立
暘;丿一日勹勿
暙;一二大日
暚;凵山日曰爪缶
暛;一丿二丷工日曰
暜;日曰立
暝;日ハ亠冖
暟;丷口山日曰豆
暠;亠冂口日高
暢;丨一日勿田
暤;十大日白
暦;日麻木厂广
暫;斤車日
暭;丶丿二冫十日白
暮;大日⺾
暱;匚口⺾日石
暲;十日立
暴;丨一水二日ハ井
暵;十口大廾日革
暸;小大日丷亠
暹;⻌日隹
暻;亠口小日
暼;巾小⺌日丷冂攵
暾;口子日亠攵
暿;一丷十口士日豆
曀;丷冖口士日豆
曁;一艮日无
曂;丨二ハ日曰田
曃;⻌ヨ日曰水隶
曄;丨一二日⺾
曆;丿厂日木禾
曇;雨二日厶
曈;日立里
曉;土日儿
曌;ハ宀工日曰月
曎;一丷十土干日曰⺲
曏;丶匕厶幺⻏日白
曔;勹口⺾攵日曰
曖;心爪日冖夂
曙;日⺲⺹
曚;日冖⺾豕
曛;一丿丷日⺣車
曜;ヨ日隹
曝;丨一水日ハ
曟;亠厂日衣辰
曠;黄田日ハ广
曦;王日丷羊亅戈
曨;一丨乙日月田立竜
曩;丨衣一日ハ亠
曫;丶丿小幺日曰糸言
曬;一丶冂匕广日比鹿
曮;厂ユ口攵日曰耳
曰;曰
曲;丨日
曳;乙日
更;丿一日
曵;弋曰
曷;日勹匕曰
書;日聿
曹;丨一日
曺;十日
曻;夕日舛
曼;日⺲又
曽;田日丷
曾;日ハ
替;人大二日亠
最;一耳日又
朁;日牙
會;日⺲𠆢
朅;人勹厶土日
朇;丨丿𠆢丷十口日曰白
月;月
有;丿一月
朋;月
服;月又卩
朎;一丨丶亅𠆢厶月
朏;丨月山
朒;人冂月
朓;丶丿儿冫月
朔;月丷屮
朕;月人大一丷
朖;月艮
朗;月艮
朙;儿ハ冂口囗月
望;王亡月
朜;亠口子月
朝;月十日
朞;一甘月ハ
期;甘月ハ
朠;大⺾月
朢;匚月王臣
朦;月冖⺾豕
朧;月立
木;木
未;丨二ハ木亠
末;丨一ハ木亠
本;一木
札;乙木
朮;丨一木丶儿
朱;丨丿牛二ハ木
朳;ハ木
朴;卜木
朶;丿木乃
朷;刀木
朸;木力
机;木几
朽;一木勹
朾;一亅木
朿;丨一ハ木冂
杁;入木
杅;亅二木
杆;干木
杇;二勹木
杈;丶又木
杉;木彡
杌;一儿木
杍;子木
李;子木
杏;口木
材;丿一木亅
村;寸木
杓;木丶勹
杔;一丿乙木
杕;大木
杖;丿一木
杙;木弋
杜;土木
杝;丨乙匕也木
杞;木已
束;丨一口ハ木
杠;工木
条;木夂攵
杢;工木
杣;山木
杤;丿一木
来;丨二米亠木
杦;夂木
杪;丿小木
杬;二儿木元
杭;木亠几
杮;一丨冂巾木
杯;丨丿一木⺭
杰;木⺣
東;丨一日木田
杲;日木
杳;日木
杴;人勹木欠
杵;丿干木十
杶;丿乙凵木屯
杷;木巴
杻;丨ヨ木
杼;矛木亅
松;ハ木厶
板;又木厂
极;丶乃及木
构;勹厶木
枅;木廾
枇;比木
枉;王木
枋;方木
枌;刀ハ木
枎;一大木
枏;二冂月木
析;斤木
枑;一ヨ彑木
枒;木牙
枓;斗木
枕;丿乙木冖尢
枖;丿大木
林;木
枘;人入冂木
枙;卩厂木
枚;木攵
枛;木爪
果;丨田木
枝;支木十又
枠;九十木
枡;丿木廾十
枢;木匚
枦;戸木一尸
枩;ハ木厶
枯;口十木
枰;一丶丿ハ丷十干木
枱;厶口木
枲;厶口木
枳;口ハ木
枴;口刀木
枵;一勹口木
架;口木力
枷;口木力
枸;口木勹
枹;木勹已
枻;一丨木世
枼;一丨木世
枽;一凵十木
柀;丨丿十厂又支木
柁;木匕宀
柂;一丨丿乙匕也木
柃;一丶亅𠆢マ木
柄;一人木冂
柅;匕尸木
柆;木立
柈;一二ハ木
柉;丶丿乙木
柊;木夂丶
柎;⺅寸木
柏;白木
某;甘木
柑;日木甘
柒;一乙匕⺡木
染;九⺡木
柔;矛木マ
柗;ハ口木
柘;口石木
柙;丨日木田
柚;丨日木田
